,User,CARD INDEX,Retailer ID,Card Number,Expires,CVV,Has Chip,Cards Issued,Credit Limit,Acct Open Date,Year PIN last Changed,Card on Dark Web
1114,371,0,20,4613780379002622,10/2021,881,YES,1,$15800,08/2010,2012,No
1115,371,1,21,4349828024185765,11/2020,209,YES,1,$16800,12/2011,2011,No
1116,371,2,24,4831547258942108,11/2021,45,NO,1,$2508,08/2005,2012,No
1117,371,3,22,4030101439693866,12/2022,924,NO,2,$2600,11/2013,2013,No
1118,372,0,11,5598838646522278,05/2022,590,YES,1,$4851,04/2005,2020,No
1119,373,0,7,5688444191664896,06/2023,723,YES,1,$7300,05/2010,2011,No
1120,373,1,11,5787876223130828,03/2024,137,YES,1,$18540,07/2009,2009,No
1121,373,2,12,5145746225869385,02/2014,37,NO,2,$4072,07/2010,2010,No
1122,373,3,13,5867870962214065,02/2020,278,YES,1,$1744,02/2020,2020,No
1123,373,4,17,5233021736945266,01/2014,561,YES,2,$33,07/2009,2013,No
1124,374,0,11,5905144281673763,02/2020,324,YES,1,$17767,03/2014,2014,No
1125,374,1,17,5376202172646612,11/2022,419,YES,1,$57,09/2013,2013,No
1126,374,2,24,4078070579143813,05/2022,725,YES,1,$23011,08/2010,2010,No
1127,374,3,12,5320540849135700,10/2023,66,YES,1,$21160,02/2009,2009,No
1128,374,4,13,5318581534984744,12/2021,914,NO,2,$21291,01/2020,2020,No
1129,375,0,20,4905977959597106,10/2020,543,YES,1,$19100,04/2018,2018,No
1130,376,0,11,5285784915006143,03/2020,790,YES,2,$7834,05/1996,2012,No
1131,377,0,24,4563146572171391,12/2020,510,YES,2,$38317,04/2014,2014,No
1132,377,1,25,4817273521248161,10/2023,706,YES,2,$55693,01/2000,2006,No
1133,377,2,26,4423423702094848,11/2020,362,YES,1,$40710,09/2010,2010,No
1134,377,3,11,5614281662886512,12/2024,906,YES,2,$61355,04/2015,2015,No
1135,378,0,7,5723992473008285,02/2020,298,YES,1,$5300,01/2020,2020,No
1136,378,1,8,5568613598314709,06/2022,926,YES,1,$15800,01/2020,2020,No
1137,379,0,11,5809559236815243,01/2020,643,YES,1,$26219,01/2020,2020,No
1138,379,1,5,6649382937549507,02/2020,898,YES,1,$20400,02/2020,2020,No
1139,380,0,11,5578581367019951,03/2020,532,YES,1,$28066,02/2020,2020,No
1140,380,1,20,4995777639723026,06/2024,153,NO,2,$19500,01/2020,2020,No
1141,380,2,7,5618927130201354,04/2020,47,YES,1,$15100,01/2020,2020,No
1142,381,0,11,5504388217788243,09/2022,389,YES,1,$9059,12/2003,2008,No
1143,381,1,7,5765192294312489,03/2024,244,YES,2,$6300,06/2014,2014,No
1144,381,2,12,5049590350537184,12/2017,287,YES,1,$12793,09/2017,2017,No
1145,381,3,8,5171047603573611,05/2020,472,YES,1,$7800,02/2020,2020,No
1146,382,0,20,4304336989685853,10/2022,38,YES,1,$14000,02/2011,2011,No
1147,383,0,17,5802808293999580,02/2023,374,NO,1,$80,02/2020,2020,No
1148,383,1,7,5182039113510183,12/2024,533,YES,1,$15400,01/2020,2020,No
1149,384,0,11,5178588521108553,04/2021,647,YES,2,$28747,04/2010,2010,No
1150,384,1,17,5419683819223054,07/2021,690,YES,2,$110,05/2011,2011,No
1151,385,0,17,5207548471157063,04/2022,310,YES,2,$112,10/2008,2012,No
1152,385,1,5,6133343341617022,12/2010,252,NO,2,$9700,06/2009,2011,No
1153,385,2,20,4013077897978419,10/2013,359,YES,1,$8600,11/2009,2014,No
1154,385,3,18,5582481832840083,10/2004,949,YES,2,$43,02/2001,2012,No
1155,385,4,11,5160679758487908,04/2015,716,YES,2,$19629,12/2010,2011,No
1156,385,5,7,5350725222706426,04/2021,29,YES,2,$3400,09/2003,2008,No
1157,386,0,11,5208287929207582,01/2022,668,YES,2,$20769,02/2020,2020,No
1158,386,1,1,382500319012149,12/2022,443,YES,2,$12100,02/2020,2020,No
1159,386,2,12,5568206290590571,06/2023,658,YES,1,$16371,02/2020,2020,No
1160,386,3,7,5316978994490034,10/2020,145,YES,1,$12500,02/2020,2020,No
1161,386,4,13,5548416164877894,02/2020,573,YES,1,$18976,02/2020,2020,No
1162,386,5,14,5319381223326693,02/2020,205,YES,2,$30119,01/2020,2020,No
1163,387,0,11,5124149352966224,07/2022,255,YES,2,$26147,03/2016,2016,No
1164,388,0,29,4140588094739369,02/2020,914,YES,2,$74,02/2020,2020,No
1165,389,0,20,4098957147259107,01/2024,427,YES,1,$7100,01/2020,2020,No
1166,389,1,24,4728985692143254,05/2021,894,YES,2,$13964,02/2020,2020,No
1167,390,0,20,4914230230023485,11/2020,149,YES,2,$12000,02/2005,2013,No
1168,390,1,11,5503346026525353,07/2021,281,YES,2,$14710,12/2006,2016,No
1169,390,2,7,5625623929407723,02/2024,413,NO,2,$5600,05/2008,2011,No
1170,390,3,1,340690023329145,05/2007,921,YES,1,$13600,01/2007,2009,No
1171,390,4,12,5836255998556368,01/2023,124,YES,2,$14592,05/2002,2018,No
1172,391,0,11,5144019472845640,03/2024,991,YES,1,$16791,08/2013,2013,No
1173,391,1,12,5401708824823369,09/2024,387,YES,1,$15909,07/2008,2008,No
1174,391,2,13,5090437031916520,06/2022,678,NO,2,$13466,02/2020,2020,No
1175,392,0,11,5427512329623870,11/2020,476,YES,2,$5066,10/2008,2016,No
1176,392,1,24,4270727314191306,09/2024,431,YES,2,$13452,09/2005,2012,No
1177,393,0,24,4609363841131495,01/2020,250,YES,1,$17652,01/2020,2020,No
1178,393,1,25,4092359255548687,07/2018,548,YES,1,$22566,05/2014,2014,No
1179,393,2,17,5739755420014539,01/2023,543,YES,2,$101,02/2020,2020,No
1180,393,3,11,5884169220100958,02/2009,380,YES,1,$17860,08/2007,2010,No
1181,393,4,26,4739129887814779,12/2024,840,YES,1,$13635,02/2020,2020,No
1182,393,5,1,340363396133555,10/2024,357,YES,1,$12800,07/2005,2014,No
1183,393,6,12,5134663281531806,04/2022,682,YES,1,$12076,02/1999,2012,No
1184,394,0,7,5428449359468275,05/2024,692,YES,1,$13500,02/2020,2020,No
1185,394,1,17,5166680396292023,11/2024,462,YES,1,$38,01/2020,2020,No
1186,394,2,18,5582430794372147,09/2024,397,YES,2,$100,01/2020,2020,No
1187,395,0,24,4011659941572561,01/2023,523,YES,1,$24501,08/2019,2019,No
1188,395,1,20,4281818687372228,11/2020,956,YES,1,$15100,06/2005,2011,No
1189,395,2,11,5537300534138484,07/2023,933,YES,2,$14709,12/2004,2013,No
1190,395,3,12,5770348525427389,08/2020,914,NO,1,$45782,11/2010,2015,No
1191,396,0,11,5089550241614493,02/2020,625,YES,2,$18292,01/2020,2020,No
1192,396,1,1,357731604070533,05/2020,270,YES,1,$13400,10/1999,2012,No
1193,396,2,20,4760959420776144,05/2021,81,YES,2,$11100,06/2015,2015,No
1194,397,0,24,4559380028737071,01/2023,791,YES,1,$33397,02/2020,2020,No
1195,398,0,17,5978230791001469,08/2017,310,YES,1,$80,03/2002,2008,No
1196,398,1,20,4609960492769091,03/2023,512,YES,2,$5400,05/2007,2013,No
1197,398,2,1,371780853319378,06/2021,461,YES,2,$11000,04/2010,2010,No
1198,398,3,24,4717280495507382,03/2012,268,YES,1,$8374,06/2006,2010,No
1199,399,0,11,5630819721997639,03/2021,160,YES,2,$23691,06/2009,2015,No
1200,399,1,24,4536093921633369,12/2023,783,YES,2,$15817,03/2010,2013,No
1201,399,2,12,5403878573257240,06/2024,553,YES,2,$36912,09/2009,2015,No
1202,400,0,24,4752300617048436,09/2021,511,YES,2,$36976,02/2020,2020,No
1203,401,0,11,5298405785595862,06/2022,451,YES,1,$52121,01/2020,2020,No
1204,402,0,11,5969880085380237,03/2024,832,YES,1,$12564,01/2018,2018,No
1205,402,1,24,4719376429761062,05/2021,716,YES,1,$15981,10/2008,2008,No
1206,403,0,24,4465904146461429,12/2007,172,YES,2,$12758,12/2007,2011,No
1207,403,1,17,5998020597750681,01/2020,259,YES,2,$24,01/2020,2020,No
1208,403,2,11,5753826788441344,10/2017,195,YES,2,$13209,03/2006,2012,No
1209,404,0,11,5845664736410406,09/2024,157,YES,1,$11254,01/2020,2020,No
1210,404,1,12,5815197990139669,05/2024,528,YES,2,$16703,06/2014,2014,No
1211,404,2,5,6863075164690679,11/2020,357,YES,2,$7300,05/2010,2010,No
1212,404,3,7,5190363040476849,08/2022,377,YES,2,$8600,02/2012,2012,No
1213,405,0,24,4435091514671785,10/2013,429,YES,1,$17173,02/1997,2014,No
1214,405,1,20,4610283928454577,03/2020,340,YES,2,$22000,08/2013,2013,No
1215,405,2,11,5402165032954536,11/2009,383,YES,1,$29739,11/2004,2008,No
1216,406,0,11,5604853881293164,02/2020,942,YES,2,$12905,05/2010,2010,No
1217,406,1,12,5304174233835471,10/2022,603,YES,2,$447,08/2006,2015,No
1218,406,2,13,5018201035940907,02/2014,623,YES,1,$22100,11/2006,2009,No
1219,406,3,24,4364504555846512,03/2024,787,YES,2,$7616,07/2010,2010,No
1220,407,0,11,5820532728475057,07/2021,136,YES,1,$17665,01/2020,2020,No
1221,407,1,12,5693890310196695,09/2024,794,YES,1,$12551,10/2019,2019,No
1222,407,2,1,329884815703027,05/2022,818,YES,2,$7400,02/2020,2020,No
1223,408,0,11,5495606147026040,06/2024,810,YES,2,$14223,02/2013,2013,No
1224,408,1,5,6439934247827371,03/2012,549,NO,1,$11200,03/2007,2007,No
1225,408,2,7,5903180777410762,02/2020,618,YES,1,$14000,03/2019,2019,No
1226,408,3,29,4982837709455785,09/2022,119,YES,2,$79,12/2009,2009,No
1227,409,0,24,4254478565698366,02/2020,642,YES,2,$13547,02/2020,2020,No
1228,410,0,11,5366108681709753,06/2022,691,YES,1,$12626,02/2020,2020,No
1229,410,1,12,5559631785400356,07/2024,138,YES,2,$17042,07/2011,2011,No
1230,410,2,13,5868987765320423,01/2024,849,YES,2,$11930,06/2011,2011,No
1231,411,0,11,5921343520642553,12/2013,630,YES,2,$10442,11/2005,2005,No
1232,411,1,12,5576058870888177,08/2023,200,YES,2,$23296,11/2009,2014,No
1233,412,0,24,4436697575956445,06/2015,894,YES,1,$19555,10/2010,2010,No
1234,412,1,11,5217920627763477,02/2020,902,YES,1,$22310,01/2020,2020,No
1235,413,0,7,5503548049749435,02/2021,850,NO,1,$14800,11/2016,2016,No
1236,413,1,20,4669390579436584,03/2020,661,YES,2,$11300,04/2002,2011,No
1237,413,2,17,5241112690809802,09/2022,740,YES,1,$31,04/2003,2010,No
1238,413,3,11,5622935637285354,05/2024,799,YES,1,$24090,09/1998,2009,No
1239,414,0,11,5700169734076825,05/2011,638,YES,1,$18138,03/2006,2008,No
1240,414,1,29,4323953877431034,05/2023,830,YES,3,$74,06/2018,2018,No
1241,414,2,12,5107151477861238,06/2021,365,YES,1,$23016,01/2010,2010,No
1242,414,3,24,4753063175082230,02/2020,352,YES,2,$35791,11/2009,2009,No
1243,415,0,11,5604896104987546,07/2022,330,YES,1,$15116,02/2020,2020,No
1244,416,0,20,4096689962299789,08/2022,25,YES,1,$8000,12/2005,2011,No
1245,416,1,1,349159635383087,01/2023,386,YES,2,$2200,02/2019,2019,No
1246,416,2,21,4538277638033307,10/2024,387,YES,1,$6800,01/2020,2020,No
1247,416,3,11,5738438340474113,03/2020,798,YES,1,$427,05/2008,2010,No
1248,417,0,11,5361639254366090,02/2002,26,YES,1,$22112,02/2002,2010,No
1249,417,1,24,4815373260593647,04/2018,733,YES,2,$10211,09/2013,2013,No
1250,417,2,12,5363716613146250,12/2008,937,YES,1,$11940,10/2007,2011,No
1251,417,3,20,4234252140022115,09/2021,115,YES,1,$7400,04/1994,2010,No
1252,417,4,29,4541177168542351,02/2021,768,NO,1,$64,06/2005,2014,No
1253,417,5,13,5079032910713562,12/2022,402,YES,2,$7343,05/2004,2013,No
1254,417,6,21,4494411189246879,01/2023,670,YES,1,$5500,06/2003,2010,No
1255,418,0,11,5907512722234563,01/2014,855,YES,2,$3843,01/2008,2009,No
1256,419,0,17,5710956185196347,02/2020,91,YES,2,$72,01/2020,2020,No
1257,419,1,11,5969614895288925,02/2020,729,YES,1,$21227,02/2020,2020,No
1258,419,2,12,5183544081050284,05/2022,754,YES,1,$21943,02/2020,2020,No
1259,420,0,11,5274657041301974,04/2020,436,YES,2,$47833,10/2004,2010,No
1260,420,1,1,337116884587546,09/2018,164,NO,2,$13400,04/2013,2013,No
1261,420,2,2,339154209082656,09/2010,909,YES,1,$21700,04/2010,2010,No
1262,421,0,11,5489847637452263,05/2022,32,YES,2,$19122,10/2013,2013,No
1263,421,1,24,4312743637718042,11/2019,556,YES,2,$17245,06/2019,2019,No
1264,421,2,12,5312379293764300,06/2022,244,NO,2,$17564,12/2010,2010,No
1265,421,3,20,4678372291668326,07/2020,966,YES,1,$14100,09/2006,2011,No
1266,422,0,1,380507615759333,07/2021,194,YES,1,$11400,01/2020,2020,No
1267,422,1,11,5643186470669851,09/2022,12,YES,2,$18281,02/2020,2020,No
1268,423,0,11,5498308482575223,03/2021,952,YES,1,$14471,04/2014,2014,No
1269,423,1,12,5252283992419484,04/2024,136,YES,1,$11399,10/2008,2010,No
1270,423,2,7,5795691987889821,04/2011,416,YES,3,$12400,05/2008,2008,No
1271,424,0,24,4980412921853275,04/2021,28,YES,2,$27520,01/2012,2012,No
1272,424,1,25,4537266913886102,04/2022,787,YES,1,$38648,11/2003,2005,No
1273,424,2,11,5817981997085182,08/2008,755,YES,2,$41051,02/2006,2006,No
1274,424,3,1,353090863754405,03/2014,451,YES,1,$19300,06/2009,2018,No
1275,424,4,12,5693655667464241,12/2023,500,YES,2,$9683,08/2007,2016,No
1276,425,0,11,5919043204819594,02/2020,711,NO,2,$15061,06/2007,2007,No
1277,425,1,12,5159330722218973,02/2022,857,YES,2,$16652,10/2008,2010,No
1278,425,2,13,5609056029992567,02/2020,7,YES,1,$10970,09/2013,2013,No
1279,425,3,24,4461414789391516,03/2021,277,YES,2,$15458,09/2019,2019,No
1280,425,4,14,5955587375467605,07/2020,522,YES,2,$11475,05/2014,2014,No
1281,425,5,15,5224140626818585,01/2017,329,YES,1,$12031,07/2014,2014,No
1282,426,0,17,5691905533359944,10/2024,982,YES,1,$49,12/2002,2009,No
1283,427,0,11,5406659343798231,12/2022,868,YES,2,$14408,09/2008,2008,No
1284,427,1,12,5268706720915465,07/2020,202,YES,1,$18035,05/2010,2010,No
1285,427,2,13,5007147574833881,04/2022,560,YES,2,$16786,09/2008,2008,No
1286,427,3,24,4345682874994564,02/2020,331,YES,1,$12009,03/2006,2009,No
1287,428,0,5,6315959001873783,04/2021,118,YES,1,$6800,08/2014,2014,No
1288,428,1,7,5887964726362356,07/2021,671,YES,1,$10300,04/2006,2009,No
1289,428,2,11,5944670401278171,03/2021,806,YES,2,$16274,10/2009,2009,No
1290,429,0,7,5744439609691204,01/2020,662,YES,1,$28000,01/2020,2020,No
1291,429,1,24,4771002709933864,04/2024,374,YES,2,$4201,01/2020,2020,No
1292,430,0,5,6396980306370671,10/2015,37,YES,1,$25300,04/2007,2012,No
1293,430,1,24,4957823817777302,03/2022,413,YES,1,$40350,02/2008,2014,No
1294,430,2,20,4021539917884489,08/2018,497,YES,1,$22500,06/2008,2010,No
1295,430,3,25,4361392563969799,10/2023,417,YES,1,$26110,12/2012,2012,No
1296,431,0,17,5387845577295005,02/2020,379,YES,1,$46,01/2020,2020,No
1297,431,1,11,5690579854372424,09/2020,790,YES,1,$24886,02/2020,2020,No
1298,431,2,24,4102843004395648,07/2022,452,YES,2,$12257,02/2020,2020,No
1299,431,3,12,5778432883626952,01/2020,217,NO,2,$27489,01/2020,2020,No
1300,432,0,20,4335011442006835,07/2022,412,YES,1,$9700,11/2010,2012,No
1301,432,1,11,5131116413550841,03/2024,615,YES,1,$11712,06/2008,2019,No
1302,432,2,1,394151199374199,02/2020,175,YES,2,$5900,07/2014,2014,No
1303,432,3,24,4684821008065663,04/2021,164,YES,1,$10318,06/2016,2016,No
1304,433,0,11,5883802092372517,12/2014,346,YES,1,$3836,07/2006,2009,No
1305,433,1,20,4495172888223801,12/2023,269,YES,2,$13200,06/2010,2011,No
1306,433,2,17,5037187439217055,08/2021,955,NO,2,$56,11/2009,2011,No
1307,434,0,1,325863166103877,01/2020,936,YES,2,$13800,01/2020,2020,No
1308,435,0,11,5219464488355605,09/2022,80,YES,2,$7767,01/2020,2020,No
1309,436,0,24,4702266560105457,09/2022,749,YES,1,$14999,05/2010,2010,No
1310,436,1,11,5215769270589143,01/2024,897,YES,2,$9281,07/2013,2013,No
1311,436,2,25,4514228052643760,03/2024,763,NO,1,$15512,11/2013,2013,No
1312,437,0,29,4316296167662583,04/2023,621,YES,2,$67,02/2020,2020,No
1313,437,1,24,4878301968196169,09/2022,33,YES,1,$10564,11/2009,2010,No
1314,438,0,11,5687094950907399,08/2019,289,YES,1,$13206,03/2018,2018,No
1315,438,1,24,4877797934126603,08/2024,237,YES,1,$11809,11/2004,2010,No
1316,438,2,5,6773009361532105,06/2024,38,YES,1,$8800,03/2006,2008,No
1317,439,0,24,4194422558945686,05/2018,208,NO,1,$29793,10/2017,2017,No
1318,439,1,17,5433671830348176,03/2022,732,YES,1,$80,11/2008,2008,No
1319,439,2,11,5164347231652886,04/2024,14,YES,2,$24739,04/2008,2011,No
1320,439,3,12,5774618783513739,01/2020,902,YES,2,$32447,09/2009,2009,No
1321,439,4,1,335499499050062,11/2020,520,NO,2,$20900,01/2007,2007,No
1322,440,0,24,4208678188310578,05/2024,462,YES,1,$23912,11/2003,2009,No
1323,440,1,1,344420840489865,11/2024,330,YES,2,$8200,04/1998,2010,No
1324,440,2,25,4904264423390551,02/2008,240,YES,2,$119,07/2004,2012,No
1325,440,3,11,5291048760665798,04/2017,940,YES,1,$19137,11/2009,2012,No
1326,441,0,11,5594052672345392,10/2021,748,YES,1,$13609,11/2008,2010,No
1327,441,1,20,4009130422427807,02/2021,247,YES,2,$8600,05/2004,2012,No
1328,442,0,1,303823669078373,02/2020,876,YES,2,$27000,02/2020,2020,No
1329,442,1,5,6262934801438359,06/2021,565,YES,2,$17500,01/2020,2020,No
1330,442,2,20,4619139517493572,02/2020,681,YES,1,$21000,01/2020,2020,No
1331,443,0,11,5250142801861718,02/2023,485,YES,2,$9401,04/2010,2011,No
1332,443,1,24,4411314646067924,06/2023,47,YES,2,$17146,11/2009,2009,No
1333,443,2,12,5384107443816532,06/2021,90,YES,2,$10863,05/2009,2011,No
1334,443,3,13,5291753153918147,07/2018,855,YES,1,$9742,04/2010,2010,No
1335,444,0,7,5089899761133479,02/2021,743,YES,2,$4600,02/2020,2020,No
1336,444,1,24,4756400836306008,07/2022,401,YES,1,$29925,01/2020,2020,No
1337,445,0,11,5551460726922763,07/2021,115,YES,2,$10305,11/2002,2010,No
1338,446,0,7,5419443574655374,10/2023,520,YES,2,$13300,09/2008,2008,No
1339,446,1,17,5391276903408071,10/2012,935,YES,2,$48,05/2006,2014,No
1340,446,2,8,5810850276328483,01/2020,877,NO,2,$0,01/2006,2012,No
1341,446,3,20,4328702811759379,02/2022,564,NO,1,$10600,09/2002,2013,No
1342,446,4,11,5054918583369098,03/2021,18,YES,2,$1778,05/2008,2011,No
1343,447,0,24,4907163278067635,09/2021,857,YES,1,$47523,01/2020,2020,No
1344,447,1,17,5147465861467114,04/2024,905,YES,1,$82,01/2020,2020,No
1345,448,0,1,304617902043505,03/2017,382,YES,1,$19400,05/2012,2012,No
1346,448,1,11,5496405569223399,11/2014,30,YES,1,$23403,01/2013,2013,No
1347,448,2,7,5019514365242810,05/2024,508,YES,1,$13900,01/2005,2012,No
1348,449,0,17,5251447871603744,03/2008,292,YES,1,$95,10/2002,2011,No
1349,449,1,11,5210434230147620,06/2022,262,YES,2,$20417,06/2016,2016,No
1350,449,2,20,4372177587368958,05/2022,450,YES,1,$6300,01/2006,2011,No
1351,450,0,11,5198052110187452,01/2020,912,YES,1,$16064,12/2016,2016,No
1352,450,1,17,5390138872145738,03/2020,267,YES,1,$98,02/2020,2020,No
1353,450,2,24,4078898258495002,07/2015,929,YES,2,$16386,03/2015,2015,No
1354,450,3,20,4301058381185328,03/2023,147,YES,1,$10100,02/2020,2020,No
1355,450,4,25,4256933161358353,10/2020,83,YES,2,$3472,01/2020,2020,No
1356,451,0,1,336470004427582,04/2022,487,YES,1,$7700,01/2020,2020,No
1357,451,1,11,5898279833645788,10/2023,139,YES,3,$11018,01/2020,2020,No
1358,451,2,20,4066440794075203,04/2024,921,YES,2,$8200,06/2018,2018,No
1359,452,0,11,5201386771432172,09/2018,392,YES,1,$4976,07/2008,2008,No
1360,452,1,1,320871039524025,07/2018,845,YES,1,$4100,11/2004,2009,No
1361,453,0,24,4003314505746426,07/2021,531,YES,2,$6076,09/2004,2011,No
1362,454,0,7,5218007897890577,12/2021,185,YES,3,$8000,02/2020,2020,No
1363,454,1,5,6997197066610978,08/2023,619,YES,2,$14600,02/2020,2020,No
1364,454,2,8,5105294422027242,03/2024,831,YES,1,$8300,10/2008,2010,No
1365,454,3,24,4063054242876751,08/2024,647,YES,2,$19054,05/2009,2017,No
1366,455,0,11,5078853441156478,03/2020,930,YES,1,$29265,02/2020,2020,No
1367,455,1,12,5547476180953081,02/2020,765,YES,1,$22245,02/2020,2020,No
1368,455,2,13,5788341339048168,10/2021,750,YES,2,$17028,02/2020,2020,No
1369,456,0,17,5390318153988797,02/2020,243,YES,2,$67,02/2009,2014,No
1370,456,1,5,6713344750325700,10/2005,728,YES,2,$15300,06/2001,2011,No
1371,456,2,11,5918188974230799,01/2021,670,YES,1,$20552,09/2015,2015,No
1372,457,0,17,5412046613062340,03/2021,587,YES,2,$32,01/2020,2020,No
1373,458,0,11,5422337679062478,02/2024,976,YES,1,$48003,01/2012,2012,No
1374,458,1,20,4623874187817166,07/2024,385,YES,1,$16300,04/2009,2013,No
1375,458,2,7,5430681770747921,04/2024,594,YES,2,$10800,05/2009,2010,No
1376,459,0,1,398744318776089,02/2021,992,YES,2,$11100,01/2006,2009,No
1377,460,0,29,4971872629769691,06/2022,724,YES,3,$64,02/2011,2011,No
1378,461,0,20,4007064696917946,11/2022,478,YES,1,$17300,03/2004,2007,No
1379,461,1,7,5282316108928795,04/2023,378,YES,1,$13900,03/2014,2014,No
1380,461,2,11,5739342319047051,02/2020,749,YES,2,$23807,05/2012,2012,No
1381,461,3,29,4025636893394293,06/2021,112,NO,2,$140,07/2017,2017,No
1382,461,4,12,5969443034028028,12/2024,783,YES,2,$26329,08/2015,2015,No
1383,461,5,13,5572820991241224,09/2023,178,NO,1,$25224,07/2010,2011,No
1384,462,0,5,6276276211895289,12/2020,681,YES,2,$8500,08/2012,2012,No
1385,462,1,20,4690211102957031,06/2023,820,NO,1,$11200,02/2005,2009,No
1386,462,2,11,5309046764363183,01/2013,336,YES,2,$14576,06/2008,2011,No
1387,462,3,21,4668940576231188,04/2021,310,YES,1,$9000,05/2009,2009,No
1388,462,4,24,4937598275581336,06/2020,557,YES,1,$21409,02/2020,2020,No
1389,463,0,11,5722539468448178,03/2014,567,YES,2,$7406,04/2009,2014,No
1390,463,1,20,4318814007161209,03/2016,388,YES,2,$3300,10/2009,2010,No
1391,463,2,7,5436428996800938,11/2023,845,YES,1,$7300,10/2008,2010,No
1392,463,3,24,4811603557913131,10/2024,994,YES,1,$4386,09/2010,2016,No
1393,464,0,20,4165611178865695,07/2023,388,YES,1,$13000,12/2010,2012,No
1394,464,1,11,5318873508559141,04/2020,125,YES,2,$14418,02/2000,2005,No
1395,464,2,12,5390794078159439,07/2022,644,YES,2,$9120,05/2009,2013,No
1396,465,0,24,4240386642532591,02/2013,460,YES,1,$11588,05/2006,2008,No
1397,465,1,7,5529087189553039,10/2023,242,NO,1,$7500,09/2011,2011,No
1398,465,2,25,4874991494846383,09/2011,140,YES,2,$18042,08/2011,2011,No
1399,466,0,11,5208237598527230,08/2018,261,YES,2,$13694,11/2017,2017,No
1400,466,1,12,5198979610127128,04/2021,198,YES,2,$15849,08/2001,2009,No
1401,466,2,24,4557993037807765,06/2024,133,YES,1,$16566,08/2005,2009,No
1402,466,3,5,6626432321225878,04/2012,326,YES,1,$10400,12/2009,2009,No
1403,467,0,7,5222647370028655,02/2020,719,YES,1,$9200,02/2020,2020,No
1404,467,1,11,5809837164960502,02/2020,924,YES,2,$17967,02/2020,2020,No
1405,467,2,1,396462574931667,01/2021,620,YES,2,$8400,01/2020,2020,No
1406,468,0,11,5422957944601642,09/2024,948,YES,1,$14168,01/2020,2020,No
1407,468,1,24,4123194661733540,06/2020,64,YES,1,$3149,02/2020,2020,No
1408,469,0,11,5782529755084769,04/2023,269,YES,1,$13161,02/2020,2020,No
1409,470,0,20,4754358973470963,09/2020,373,YES,2,$11700,02/2004,2008,No
1410,470,1,11,5027764290591247,01/2019,566,YES,1,$17678,02/2017,2017,No
1411,470,2,29,4326629340318761,04/2020,522,YES,1,$81,09/2015,2015,No
1412,470,3,12,5305887216431015,01/2023,421,YES,2,$26231,07/2017,2017,No
1413,471,0,20,4856130775211817,11/2021,465,YES,1,$7700,03/2017,2017,No
1414,471,1,21,4665143171978631,08/2022,867,YES,1,$6800,11/2006,2009,No
1415,471,2,11,5937799398015248,03/2023,923,YES,2,$736,03/2010,2015,No
1416,472,0,29,4060923248609933,08/2018,596,YES,1,$96,10/2012,2012,No
1417,472,1,11,5310596598623892,04/2017,141,NO,1,$14977,10/2015,2015,No
1418,472,2,24,4341345706839092,04/2023,273,YES,1,$13162,02/2020,2020,No
1419,472,3,25,4623542302475012,11/2019,482,YES,2,$17649,09/2013,2013,No
1420,472,4,26,4494703150961667,02/2021,363,YES,1,$10538,11/2011,2011,No
1421,472,5,7,5605519998768278,02/2022,522,YES,2,$10500,11/2007,2011,No
1422,472,6,17,5315223005212889,11/2020,984,YES,2,$74,01/2007,2010,No
1423,473,0,24,4374159186975002,02/2018,407,YES,1,$39441,10/2002,2008,No
1424,473,1,11,5253617024037347,11/2022,224,YES,2,$27720,05/2016,2016,No
1425,473,2,1,376110023635089,05/2023,593,YES,1,$20800,04/2011,2013,No
1426,473,3,20,4309882951597541,10/2022,139,YES,2,$5300,04/2017,2017,No
1427,474,0,29,4634294164066043,01/2023,50,NO,1,$65,01/2001,2007,No
1428,475,0,24,4252420197645247,08/2021,661,YES,2,$20182,02/2020,2020,No
1429,475,1,20,4729190647946641,01/2020,219,YES,2,$8700,01/2020,2020,No
1430,476,0,20,4272312295078550,05/2020,575,YES,1,$23300,01/2020,2020,No
1431,476,1,24,4159082277360922,02/2020,566,YES,1,$8989,01/2020,2020,No
1432,477,0,11,5227469913438853,02/2024,788,YES,1,$41816,02/2020,2020,No
1433,477,1,24,4669977836863167,03/2020,452,YES,1,$16202,01/2020,2020,No
1434,477,2,25,4339544686242558,10/2020,141,YES,2,$39457,06/2014,2014,No
1435,478,0,20,4346937080498804,09/2024,769,YES,3,$7900,06/2009,2009,No
1436,479,0,7,5603668323038217,01/2023,118,YES,2,$7400,02/2006,2008,No
1437,479,1,17,5677571318458572,08/2023,426,YES,2,$107,06/2018,2018,No
1438,480,0,29,4910699106963260,03/2021,36,YES,1,$24,04/2001,2009,No
1439,481,0,24,4129256843458775,08/2022,936,YES,2,$88743,06/2004,2010,No
1440,481,1,20,4008696033204121,02/2023,124,NO,1,$57200,01/1999,2011,No
1441,481,2,5,6822627615926082,08/2022,344,NO,1,$2500,05/2014,2014,No
1442,481,3,11,5843025504634580,12/2009,568,YES,1,$151223,08/2004,2009,No
1443,481,4,21,4860334220798378,02/2020,146,YES,1,$61100,01/2008,2010,No
1444,482,0,11,5250625336912959,04/2022,326,YES,1,$26960,07/2006,2010,No
1445,482,1,24,4295691183724130,12/2022,78,YES,1,$16531,12/2011,2011,No
1446,482,2,17,5918296616309874,05/2024,983,YES,1,$69,04/2013,2013,No
